id,emo,name,onTime,endTime
1,Happy,1_22,1684050518.992,1684050578.992
2,Neutral,10,1684050749.9620001,1684050809.9620001
3,rest,rest,1684050918.085,1684051098.085
4,Sad,1_13,1684051124.997,1684051365.375
5,Fear,1_15,1684051434.148,1684051730.548
6,Proud,proud_09,1684051830.855,1684052026.227
7,Neutral,1,1684052096.644,1684052322.0340002
8,Happy,4,1684052401.891,1684052578.27
9,Fear,3_30,1684052657.653,1684052839.012
10,Happy,1,1684052946.066,1684053232.473
11,Proud,proud_14,1684053301.397,1684053494.786
12,Sad,3,1684053579.55,1684053732.945
13,Neutral,2,1684053797.423,1684053965.8170002
14,Fear,1_11,1684054036.652,1684054105.024
15,Sad,8,1684054175.0440001,1684054497.3530002
16,Proud,proud_35,1684054575.7050002,1684054812.015
17,Neutral,3,1684054878.399,1684055035.811
18,Happy,1_3,1684055102.6460001,1684055340.993
